,size,isEmpty,calledMethod,size_p,isEmpty_p,calledMethod_p
90,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
110,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push"""
111,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
198,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push"""
215,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
248,"size == ""1.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
284,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
302,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push"""
303,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
304,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
305,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
352,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
408,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
452,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
565,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push"""
926,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
1209,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
3339,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
3565,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
6847,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
10946,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
32554,"size == ""6.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
32555,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push"""
33561,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push"""
38525,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
91111,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
