,size,isEmpty,calledMethod,size_p,isEmpty_p,calledMethod_p
140,"size == ""1.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
141,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
213,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push"""
224,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push"""
392,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
1073,"size == ""1.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1400,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""1""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
1401,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
1565,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
3178,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
3906,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
5487,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
6243,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push"""
9216,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push"""
9217,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
15829,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
15830,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
16505,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
16507,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
25191,"size == ""6.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push"""
25192,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push"""
27281,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push"""
52821,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
104838,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
